"filename", "language", "JavaScript", "Vue", "JSON", "Markdown", "HTML", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\profile.scss", "SCSS", 0, 0, 0, 0, 0, 0, 110, 0, 22, 132
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\table.css", "CSS", 0, 0, 0, 0, 0, 213, 0, 1, 25, 239
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\table.scss", "SCSS", 0, 0, 0, 0, 0, 0, 190, 0, 34, 224
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\validations.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 10, 36
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\About.vue", "Vue", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\DeviceView.vue", "Vue", 0, 235, 0, 0, 0, 0, 0, 0, 7, 242
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\EmailResend.vue", "Vue", 0, 95, 0, 0, 0, 0, 0, 0, 4, 99
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\EmailVerification.vue", "Vue", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\Home.vue", "Vue", 0, 134, 0, 0, 0, 0, 0, 0, 3, 137
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\Login.vue", "Vue", 0, 87, 0, 0, 0, 0, 0, 0, 4, 91
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\Messages.vue", "Vue", 0, 193, 0, 0, 0, 0, 0, 2, 3, 198
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\NotFound.vue", "Vue", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\PasswordReset.vue", "Vue", 0, 86, 0, 0, 0, 0, 0, 0, 4, 90
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\Profile.vue", "Vue", 0, 82, 0, 0, 0, 0, 0, 0, 2, 84
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\Registration.vue", "Vue", 0, 142, 0, 0, 0, 0, 0, 0, 12, 154
"Total", "-", 191, 2615, 12020, 19, 16, 1153, 970, 46, 521, 17551
